cloudiness,country,date,max_temp,lat,lng,wind_speed,city_name
0,BR,1631672237,71.46,-19.5394,-40.6306,2.26,Colatina
1,AU,1631672239,89.15,-23.7,133.8833,12.66,Alice Springs
5,BR,1631672240,74.32,-1.8283,-44.8683,2.19,Cururupu
0,UY,1631672243,47.62,-33.6971,-53.4616,9.51,Chui
100,CN,1631672244,79.48,21.95,108.6167,3.11,Qinzhou
75,RU,1631672245,41.23,65.9939,57.5281,15.82,Usinsk
9,PT,1631672247,69.33,38.5167,-28.7,6.69,Ribeira Grande
80,GL,1631671965,16.9,77.484,-69.3632,6.08,Qaanaaq
68,BR,1631672250,76.84,-3.7661,-49.6725,4.09,Tucuruí
9,AU,1631672252,77.63,-20.7377,116.8463,11.52,Karratha
78,RU,1631672253,46.18,61.2767,108.0108,6.55,Yerbogachën
91,TZ,1631672254,62.31,-5.7467,34.8382,4.38,Manyoni
100,IN,1631672256,75.09,18.3833,78.8333,12.37,Sirsilla
100,NO,1631672257,42.75,70.3705,31.1107,9.1,Vardø
44,AU,1631672258,58.19,-34.7333,135.8667,12.8,Port Lincoln
4,NZ,1631672150,52.81,-45.8742,170.5036,7.0,Dunedin
100,DE,1631672262,66.15,50.65,11.3667,4.14,Saalfeld
100,OM,1631672263,85.57,22.5667,59.5289,3.94,Sur
88,PH,1631672265,84.69,10.9995,122.6711,7.34,Dingle
0,AR,1631672266,54.75,-34.6177,-68.3301,10.87,San Rafael
95,GH,1631672178,76.78,5.7947,0.8973,11.07,Anloga
84,ID,1631672269,84.96,-8.4667,140.3333,9.84,Merauke
94,AU,1631672271,65.95,-32.7167,152.15,3.0,Nelson Bay
40,DO,1631672106,78.53,18.4273,-68.9728,4.61,La Romana
100,MN,1631672273,56.21,45.7625,106.2708,11.05,Mandalgovi
100,RU,1631672275,41.52,67.6713,53.087,8.81,Naryan-Mar
100,RU,1631672277,42.89,66.8333,70.8333,6.96,Yar-Sale
94,LK,1631672278,82.08,6.1241,81.1185,15.26,Hambantota
100,MV,1631672280,82.06,2.9167,73.5667,5.73,Muli
100,CN,1631672281,54.64,49.2,119.7,6.17,Hailar
68,BR,1631672282,76.42,-5.1833,-68.9,1.95,Jutaí
0,ZA,1631672284,53.37,-27.914,25.1611,5.14,Christiana
73,RU,1631672286,44.38,56.0915,49.8778,7.78,Arsk
95,AU,1631672288,66.56,-33.8667,121.9,17.27,Esperance
75,ZA,1631672245,57.09,-33.918,25.5701,16.11,Port Elizabeth
100,BR,1631672290,60.58,-30.1811,-50.2056,15.39,Cidreira
1,US,1631672130,78.89,39.1834,-84.5333,5.75,Hamilton
40,ID,1631672292,86.67,-9.1061,124.8925,2.3,Atambua
100,RU,1631672294,48.24,66.7697,123.3711,12.82,Zhigansk
100,GB,1631672295,55.44,55.8713,-2.0901,5.95,Eyemouth
40,GL,1631672071,30.22,69.2167,-51.1,9.22,Ilulissat
100,RU,1631672298,41.32,65.9667,78.3667,3.49,Urengoy
100,CL,1631672191,48.42,-41.8697,-73.8203,12.73,Ancud
0,TR,1631672301,64.94,37.0778,41.2178,5.61,Nisibis
40,US,1631672303,84.22,20.8947,-156.47,13.8,Kahului
1,MN,1631672305,55.38,48.0056,91.6419,2.71,Khovd
88,CN,1631672306,65.3,29.3786,103.023,0.81,Wuchi
75,BR,1631672308,82.38,2.8197,-60.6733,8.05,Boa Vista
100,RU,1631672309,58.3,51.0239,45.6969,10.11,Krasnoarmeysk
9,AU,1631672310,85.77,-20.7333,139.5,13.8,Mount Isa
56,ZA,1631672312,50.05,-33.0117,17.9442,15.86,Saldanha
100,RU,1631672313,37.8,70.6333,147.9167,9.69,Chokurdakh
100,IN,1631672314,80.44,22.2394,68.9678,13.69,Dwārka
3,NZ,1631672316,46.83,-45.4167,167.7167,1.34,Te Anau
90,AU,1631672318,63.07,-31.9,152.4667,13.8,Taree
84,US,1631672319,86.09,28.017,-97.5169,10.89,San Patricio
20,US,1631672072,60.75,64.8569,-147.8028,6.91,College
87,RU,1631672322,39.27,66.6871,34.3429,9.51,Umba
62,TD,1631672323,77.83,14.5333,20.9167,6.22,Biltine
40,ID,1631672325,77.09,-3.4167,114.85,4.61,Martapura
11,AR,1631672326,43.11,-38.0023,-57.5575,9.28,Mar del Plata
40,MX,1631672327,88.21,25.6833,-100.25,5.75,Guadalupe
100,RU,1631672329,42.24,66.0,111.5,15.37,Aykhal
90,RU,1631672330,44.71,64.3833,-173.3,8.95,Provideniya
100,MX,1631672331,57.78,23.3833,-105.3833,3.29,Pueblo Nuevo
9,VU,1631672335,83.57,-15.5333,167.1667,8.37,Luganville
75,US,1631672336,67.48,42.1584,-72.3287,1.01,Palmer
99,PH,1631672338,85.5,10.6667,122.95,6.67,Bacolod City
1,CL,1631672339,47.52,-35.3333,-72.4167,10.07,Constitución
100,RU,1631672340,33.35,69.7008,170.3133,4.85,Pevek
6,SN,1631672342,84.02,16.3333,-15.0,15.93,Saint-Louis
90,NO,1631672343,41.07,69.1304,18.6123,0.0,Moen
75,OM,1631672344,80.69,17.0151,54.0924,5.75,Salalah
0,UY,1631672347,46.35,-34.4833,-54.3333,11.99,Rocha
35,CN,1631672349,65.88,42.9633,126.7478,8.41,Huadian
99,NG,1631672351,73.11,7.3833,8.5667,4.05,Yaan
0,NA,1631672352,43.65,-28.45,18.7333,8.77,Warmbad
90,GB,1631672134,60.67,51.0693,-1.7957,9.22,Salisbury
38,HT,1631672354,79.29,18.2833,-73.4,1.68,Aquin
72,PT,1631672356,68.02,39.05,-27.9833,5.48,Lagoa
100,US,1631672084,77.0,29.5958,-90.7195,14.9,Houma
11,GL,1631672358,36.1,60.7167,-46.0333,3.96,Qaqortoq
6,ML,1631672360,89.2,20.1986,1.0114,11.36,Tessalit
0,CL,1631672143,54.3,-30.5983,-71.2003,2.21,Ovalle
7,RU,1631672362,56.48,59.7,150.1667,6.15,Arman'
1,US,1631672250,92.95,37.1041,-113.5841,1.01,Saint George
100,RU,1631672364,39.13,65.7,82.4667,3.51,Krasnosel'kup
5,BR,1631672366,78.75,3.0833,-59.95,5.7,Bonfim
6,CA,1631672367,39.47,51.226,-58.6502,8.75,Saint-Augustin
66,VE,1631672369,73.62,5.6639,-67.6236,5.41,Puerto Ayacucho
99,BO,1631672370,50.32,-17.5833,-67.5167,14.79,Eucaliptus
100,BO,1631672371,62.53,-21.25,-63.5,5.57,Villamontes
93,CN,1631672374,74.25,41.7597,86.1469,6.67,Korla
20,US,1631672375,83.97,35.0242,-110.6974,1.99,Winslow
0,GF,1631672376,79.0,5.4802,-53.2011,8.37,Iracoubo
90,CA,1631672378,28.63,70.4692,-68.5914,5.75,Clyde River
100,CN,1631672379,85.24,18.8003,110.3967,11.18,Wanning
84,RU,1631672380,52.66,50.6022,95.0047,2.1,Samagaltay
100,ID,1631672382,83.68,-0.8667,134.0833,6.98,Manokwari
50,RU,1631672383,52.18,50.6789,156.125,11.52,Severo-Kuril'sk
80,PH,1631672384,89.31,14.35,121.0167,5.23,City of San Pedro
100,FR,1631672386,67.55,45.9167,-1.0,2.73,Arrondissement de Rochefort
100,US,1631672387,75.7,33.194,-82.5271,6.53,Avera
77,VE,1631672388,81.46,8.1222,-63.5497,7.9,Ciudad Bolivar
100,RU,1631672390,41.63,62.1764,30.693,7.2,Vyartsilya
46,TZ,1631672391,76.53,-7.9139,39.6668,11.65,Kilindoni
59,GA,1631672392,71.71,-0.0921,11.9385,1.9,Booué
4,AR,1631672394,53.35,-34.5703,-59.105,3.15,Luján
66,BR,1631672395,78.8,-10.7081,-48.4172,1.05,Porto Nacional
100,MM,1631672233,76.8,16.2833,95.6833,6.11,Pyapon
1,US,1631672398,74.26,36.1632,-82.831,3.44,Greeneville
40,PA,1631672399,80.55,8.9936,-79.5197,3.44,Panama City
1,US,1631672400,80.24,38.8876,-76.5119,8.99,Mayo
100,CI,1631672402,76.08,4.423,-7.3528,10.13,Tabou
9,IN,1631672403,85.6,27.9167,96.1667,2.06,Tezu
0,KR,1631672404,80.17,37.5683,126.9778,17.27,Seoul
16,SA,1631672406,70.45,17.4924,44.1277,4.47,Najrān
6,JP,1631672407,74.48,38.55,141.05,4.25,Kogota
2,PH,1631672408,85.05,15.435,119.9045,3.09,Palauig
100,CR,1631672410,64.42,9.8383,-83.8656,2.59,Paraíso
5,MN,1631672411,54.01,49.4867,105.9228,1.36,Darhan
90,US,1631672413,76.17,40.5668,-74.5496,0.0,Somerset
